Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,99148692,7,6,319,11595,319,0,45.57142857,120.5706669,4344,0,1932.5,1754.831473,120.1629569,0.131116203,8262391.0,28600000.0,99000000,1,99000000,16500000.0,40400000.0,99000000,1,150344,30068.8,60613.33306,138108,49,0,0,0,0,232,200,0.070601032,0.06051517,0,4344,851.0,1461.491651,2135957.846,0,0,0,0,1,0,0,0,0,916.4615385,45.57142857,1932.5,232,0,0,0,0,0,0,7,319,6,11595,251,235,1,32,1016.0,0.0,1016,1016,99000000.0,0.0,99000000,99000000,DoS Hulk
53,18705969,2,2,98,203,53,45,49.0,5.656854249,104,99,101.5,3.535533906,16.09112043,0.213835487,6235323.0,10500000.0,18300000,52307,18400000,18400000.0,0.0,18400000,18400000,18700000,18700000.0,0.0,18700000,18700000,0,0,0,0,52,40,0.106917744,0.106917744,45,104,69.2,29.71868099,883.2,0,0,0,0,0,0,0,0,1,86.5,49.0,101.5,52,0,0,0,0,0,0,2,98,2,203,-1,-1,1,20,52307.0,0.0,52307,52307,18300000.0,0.0,18300000,18300000,BENIGN
80,60798317,10,10,1892,1233,1448,0,189.2,463.7855826,1233,0,123.3,389.9088355,51.3994491,0.328956474,3199911.421,4768630.14,10200000,3,51100000,5672335.556,5338360.227,10200000,48,60700000,6745726.556,5038358.2,10200000,3,0,0,0,0,328,328,0.164478237,0.164478237,0,1448,148.8095238,409.2126121,167454.9619,0,0,0,1,0,0,0,0,1,156.25,189.2,123.3,328,0,0,0,0,0,0,10,1892,10,1233,29200,80,2,32,106062.2,43218.23057,183373,86598,10100000.0,69927.46647,10200000,10000000,BENIGN
123,26319,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,3647.5549982902,75.990729131,26319.0,0.0,26319,26319,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,37.9953645655,37.9953645655,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,32,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,160,2,2,82,210,41,41,41.0,0.0,105,105,105.0,0.0,1825000.0,25000.0,53.33333333,85.44783984,152,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,40,40,12500.0,12500.0,41,105,66.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,83.25,41.0,105.0,40,0,0,0,0,0,0,2,82,2,210,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
33190,16,3,0,31,0,31,0,10.33333333,17.89785834,0,0,0.0,0.0,1937500.0,187500.0,8.0,5.656854249,12,4,16,8.0,5.656854249,12,4,0,0.0,0.0,0,0,0,0,0,0,96,0,187500.0,0.0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,10.33333333,0.0,96,0,0,0,0,0,0,3,31,0,0,939,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,72780617,14,2,2318,0,231,0,165.5714286,107.3740509,0,0,0.0,0.0,31.84913917,0.219838752,4852041.133,7337371.185,21400000,59,72800000,5598509.0,7634327.619,21400000,245,31500000,31500000.0,0.0,31500000,31500000,0,0,0,0,456,80,0.192358908,0.027479844,0,231,136.3529412,116.6211501,13600.49265,0,0,0,1,0,0,0,0,0,144.875,165.5714286,0.0,456,0,0,0,0,0,0,14,2318,2,0,29200,28960,11,32,3204068.5,4530551.234,6407652,485,11200000.0,6547717.737,19800000,5842647,DoS slowloris
16709,81,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,148148.1481,24691.35802,81.0,0.0,81,81,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,12345.67901,12345.67901,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,510,258,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,16833925,6,4,1250,682,1250,0,208.3333333,510.3103631,682,0,170.5,341.0,114.7682433,0.594038526,1870436.111,3506510.138,9996344,43,16800000,3366785.0,4305780.852,9996344,90732,11400000,3799243.0,5485705.393,10100000,1966,0,0,0,0,200,136,0.356423116,0.237615411,0,1250,175.6363636,410.8886157,168829.4545,0,0,0,1,0,0,0,0,0,193.2,208.3333333,170.5,200,0,0,0,0,0,0,6,1250,4,682,29200,5630,1,32,1414995.0,0.0,1414995,1414995,9996344.0,0.0,9996344,9996344,BENIGN
53,319,2,2,70,126,35,35,35.0,0.0,63,63,63.0,0.0,614420.0627,12539.18495,106.3333333,182.4426851,317,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,6269.592476,6269.592476,35,63,46.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,57.75,35.0,63.0,64,0,0,0,0,0,0,2,70,2,126,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
